Fecha,Casa Cuna SO2 (µg/m³),Flag,Casa Cuna NO2 (µg/m³),Flag,Casa Cuna NOX (µg/m³),Flag,Casa Cuna O3 (µg/m³),Flag,Casa Cuna PM10 (µg/m³),Flag
Jan-2015,3,V,35,V,50,V,56,V,,N
Feb-2015,3,V,32,V,47,V,62,V,,N
Mar-2015,4,V,39,V,67,V,61,V,,N
Apr-2015,3,V,35,V,58,V,63,V,,N
May-2015,4,V,34,V,58,V,62,V,30,V
Jun-2015,3,V,22,V,37,V,58,V,20,V
Jul-2015,4,V,25,V,49,V,43,V,,N
Aug-2015,3,V,23,V,39,V,43,V,18,V
Sep-2015,3,V,36,V,69,V,36,V,9,V
Oct-2015,3,V,38,V,68,V,39,V,17,V
Nov-2015,4,V,43,V,73,V,43,V,23,V
Dec-2015,4,V,55,V,102,V,32,V,47,V
Jan-2016,4,V,46,V,83,V,36,V,16,V
Feb-2016,3,V,29,V,45,V,53,V,13,V
Mar-2016,3,V,32,V,50,V,58,V,13,V
Apr-2016,,N,,N,,N,,N,10,V
May-2016,2,V,23,V,35,V,62,V,12,V
Jun-2016,3,V,,N,,N,42,V,14,V
Jul-2016,4,V,,N,,N,,N,,N
Aug-2016,5,V,32,V,54,V,39,V,,N
Sep-2016,3,V,23,V,36,V,47,V,,N
Oct-2016,,N,,N,,N,,N,,N
Nov-2016,2,V,36,V,61,V,44,V,13,V
Dec-2016,3,V,31,V,53,V,47,V,28,V
Jan-2017,3,V,40,V,69,V,50,V,27,V
Feb-2017,3,V,37,V,58,V,55,V,19,V
Mar-2017,3,V,38,V,61,V,59,V,26,V
Apr-2017,,N,,N,,N,,N,,N
May-2017,2,V,26,V,44,V,53,V,11,V
Jun-2017,3,V,19,V,33,V,46,V,16,V
Jul-2017,3,V,30,V,51,V,44,V,19,V
Aug-2017,4,V,44,V,72,V,46,V,16,V
Sep-2017,2,V,25,V,45,V,45,V,20,V
Oct-2017,4,V,34,V,68,V,39,V,22,V
Nov-2017,3,V,40,V,71,V,44,V,11,V
Dec-2017,6,V,,N,68,V,50,V,,N
