Fecha,García Escámez-Sta Cruz de TF O3 (µg/m³),Flag
Jan-2015,59,V
Feb-2015,67,V
Mar-2015,64,V
Apr-2015,69,V
May-2015,68,V
Jun-2015,62,V
Jul-2015,39,V
Aug-2015,34,V
Sep-2015,34,V
Oct-2015,49,V
Nov-2015,46,V
Dec-2015,41,V
Jan-2016,41,V
Feb-2016,65,V
Mar-2016,63,V
Apr-2016,53,V
May-2016,60,V
Jun-2016,48,V
Jul-2016,62,V
Aug-2016,,N
Sep-2016,85,V
Oct-2016,41,V
Nov-2016,47,V
Dec-2016,60,V
Jan-2017,47,V
Feb-2017,60,V
Mar-2017,69,V
Apr-2017,,N
May-2017,67,V
Jun-2017,61,V
Jul-2017,61,V
Aug-2017,73,V
Sep-2017,55,V
Oct-2017,60,V
Nov-2017,63,V
Dec-2017,60,V
