Fecha,García Escámez-Sta Cruz de TF SO2 (µg/m³),Flag,García Escámez-Sta Cruz de TF NO2 (µg/m³),Flag,García Escámez-Sta Cruz de TF NOX (µg/m³),Flag,García Escámez-Sta Cruz de TF PM10 (µg/m³),Flag,"García Escámez-Sta Cruz de TF PM2,5 (µg/m³)",Flag
Jan-2015,8,V,15,V,20,V,36,V,11,V
Feb-2015,4,V,12,V,17,V,9,V,4,V
Mar-2015,11,V,19,V,26,V,,N,,N
Apr-2015,,N,17,V,23,V,,N,,N
May-2015,5,V,18,V,23,V,23,V,10,V
Jun-2015,3,V,10,V,12,V,11,V,6,V
Jul-2015,5,V,14,V,20,V,9,V,5,V
Aug-2015,4,V,11,V,15,V,16,V,7,V
Sep-2015,3,V,14,V,19,V,15,V,7,V
Oct-2015,3,V,20,V,25,V,15,V,6,V
Nov-2015,3,V,24,V,30,V,25,V,10,V
Dec-2015,4,V,35,V,46,V,54,V,19,V
Jan-2016,,N,26,V,35,V,,N,,N
Feb-2016,3,V,15,V,17,V,13,V,6,V
Mar-2016,3,V,14,V,16,V,10,V,6,V
Apr-2016,3,V,13,V,16,V,7,V,4,V
May-2016,2,V,9,V,11,V,9,V,6,V
Jun-2016,4,V,11,V,16,V,8,V,5,V
Jul-2016,4,V,13,V,17,V,,N,,N
Aug-2016,7,V,20,V,27,V,,N,,N
Sep-2016,3,V,11,V,14,V,,N,,N
Oct-2016,3,V,17,V,24,V,14,V,6,V
Nov-2016,2,V,19,V,24,V,11,V,4,V
Dec-2016,3,V,21,V,27,V,26,V,9,V
Jan-2017,3,V,18,V,23,V,23,V,9,V
Feb-2017,3,V,11,V,16,V,16,V,6,V
Mar-2017,4,V,18,V,30,V,22,V,8,V
Apr-2017,,N,,N,,N,,N,,N
May-2017,2,V,8,V,14,V,6,V,3,V
Jun-2017,3,V,8,V,15,V,7,V,4,V
Jul-2017,4,V,9,V,18,V,6,V,4,V
Aug-2017,4,V,15,V,25,V,13,V,7,V
Sep-2017,2,V,,N,,N,15,V,8,V
Oct-2017,4,V,20,V,33,V,20,V,9,V
Nov-2017,3,V,19,V,28,V,8,V,4,V
Dec-2017,4,V,15,V,21,V,10,V,4,V
