Fecha,Vuelta Los Pájaros-Sta Cruz de TF SO2 (µg/m³),Flag,Vuelta Los Pájaros-Sta Cruz de TF NO2 (µg/m³),Flag,Vuelta Los Pájaros-Sta Cruz de TF CO (mg/m³),Flag,Vuelta Los Pájaros-Sta Cruz de TF PM10 (µg/m³),Flag,Vuelta Los Pájaros-Sta Cruz de TF BEN (µg/m³),Flag
Jan-2015,3,V,22,V,,N,41,V,0.5,V
Feb-2015,4,V,17,V,,N,15,V,0.5,V
Mar-2015,4,V,19,V,,N,35,V,0.4,V
Apr-2015,5,V,14,V,,N,17,V,0.4,V
May-2015,3,V,14,V,,N,28,V,0.4,V
Jun-2015,4,V,9,V,,N,19,V,0.2,V
Jul-2015,,N,12,V,,N,24,V,0.4,V
Aug-2015,,N,10,V,0.6,V,21,V,0.3,V
Sep-2015,,N,14,V,0.7,V,18,V,0.5,V
Oct-2015,5,V,19,V,0.6,V,19,V,0.4,V
Nov-2015,7,V,27,V,0.6,V,29,V,0.5,V
Dec-2015,7,V,,N,,N,63,V,0.6,V
Jan-2016,7,V,23,V,0.3,V,20,V,0.6,V
Feb-2016,5,V,15,V,0.2,V,19,V,0.4,V
Mar-2016,8,V,21,V,,N,18,V,0.3,V
Apr-2016,6,V,13,V,,N,12,V,0.3,V
May-2016,5,V,9,V,,N,16,V,0.2,V
Jun-2016,8,V,11,V,0.5,V,18,V,0.2,V
Jul-2016,11,V,14,V,0.4,V,22,V,0.2,V
Aug-2016,10,V,17,V,0.5,V,36,V,0.3,V
Sep-2016,10,V,10,V,0.5,V,22,V,0.2,V
Oct-2016,7,V,14,V,0.5,V,19,V,0.4,V
Nov-2016,6,V,17,V,0.4,V,17,V,0.4,V
Dec-2016,6,V,17,V,0.4,V,36,V,0.4,V
Jan-2017,7,V,17,V,0.5,V,38,V,0.3,V
Feb-2017,,N,15,V,0.4,V,,N,0.4,V
Mar-2017,,N,19,V,0.4,V,,N,0.3,V
Apr-2017,,N,,N,,N,,N,,N
May-2017,4,V,12,V,0.6,V,16,V,0.1,V
Jun-2017,3,V,11,V,,N,25,V,0.1,V
Jul-2017,3,V,11,V,0.3,V,28,V,0.1,V
Aug-2017,4,V,30,V,0.3,V,29,V,0.2,V
Sep-2017,3,V,14,V,0.3,V,34,V,0.1,V
Oct-2017,4,V,23,V,0.4,V,46,V,0.3,V
Nov-2017,4,V,23,V,0.4,V,29,V,0.2,V
Dec-2017,4,V,26,V,0.4,V,21,V,0.2,V
